Model,Best Val F1,Test F1,Test Precision,Test Recall,Training Stability,Val Loss Std,Val F1 Std,Best Epoch,Regularization
Original (10 epochs),0.9062354978354977,0.9062,0.8505,0.9846,Moderate,0.04141687898165938,0.015390293198849013,8,None
Regularized (Best),0.9115102453102452,0.9115102453102452,0.8620666666666668,0.9830333333333334,Improved,0.007712285779359332,0.0025379922327424163,3,Dropout (0.5) + Weight Decay (1e-4)
